Name,Age,Occupation,Location,Salary
Ivory Hilll CPA,49,Designer,San Francisco,51776
Deanne Hane,41,Manager,New York,93216
Fidel Rempel V,55,Designer,San Francisco,92313
Prof. Andres Braun,48,Teacher,Los Angeles,73903
Tyrone Armstrong,24,Manager,San Francisco,84607
Elmer Harvey,20,Designer,San Francisco,145588
Wm Langosh VM,58,Manager,Los Angeles,71119
Ismael Mueller I,55,Designer,New York,129757
Demarcus Wiza,51,Designer,San Francisco,147410
Chang Daugherty,49,Designer,Chicago,80400
Msgr. Preston Kulas,23,Engineer,San Francisco,82015
Terrilyn Keebler,22,Manager,Chicago,71767
Sammy Murray,57,Designer,Los Angeles,114734
Renea Bednar,50,Engineer,Chicago,53828
Lindsay Terry,43,Manager,New York,72596
Sheree Lindgren,30,Designer,New York,115374
Gov. Vincent Leffler,24,Teacher,San Francisco,113829
Ruben Fadel,55,Teacher,Los Angeles,94191
Everett Jerde,31,Manager,Chicago,122390
Kendrick Dach DO,41,Engineer,Los Angeles,89438
Diane D'Amore,25,Teacher,New York,108720
Dominick McLaughlin IV,39,Manager,New York,114776
Maryjo O'Keefe,58,Teacher,Chicago,51181
Moira Gleason,23,Designer,New York,95636
The Hon. Etta Koss,37,Teacher,Los Angeles,117737
Wally Jast,41,Manager,New York,79386
Daren Schiller,41,Manager,San Francisco,72469
Rutha Mraz,51,Designer,Chicago,118221
Greg McGlynn,56,Manager,Los Angeles,105336
Kim Kub,35,Teacher,Chicago,63390
Rev. Eileen Bayer,44,Teacher,Los Angeles,122109
Mui Bruen,35,Engineer,San Francisco,142007
Carlene Sanford,46,Designer,San Francisco,104098
Jerome Ratke,55,Engineer,Los Angeles,114394
King Fay,30,Engineer,Los Angeles,130253
Ricky Goldner,37,Designer,Los Angeles,73886
Lauren Hagenes,31,Manager,Chicago,120699
Alexa Shields,22,Manager,San Francisco,136863
Deon Paucek,58,Designer,Los Angeles,107801
Mrs. Pamila Heaney,52,Teacher,Chicago,137558
Otis Romaguera,31,Designer,Chicago,112449
Terrell Pfannerstill,46,Manager,New York,147225
Carlton Buckridge,36,Manager,Los Angeles,107762
Debera Cronin VM,29,Manager,Los Angeles,84691
Dayle Langosh,55,Designer,San Francisco,60941
Stefani Hoppe,46,Manager,New York,82988
Dave Baumbach,22,Engineer,San Francisco,123938
Rep. Adena Kozey,38,Designer,Los Angeles,123826
Lesa Jones,51,Engineer,Los Angeles,98156
Rosa Quigley,34,Engineer,New York,128460
Emeline Herman,53,Engineer,New York,91916
Niesha Swaniawski,60,Manager,San Francisco,80106
Rev. Liana Metz,30,Manager,Los Angeles,50008
Luther Wuckert,40,Engineer,New York,57567
Nida Yundt,43,Engineer,Los Angeles,58594
The Hon. Dia Howell,37,Designer,Chicago,146244
Kieth Ernser,25,Engineer,New York,53088
Claudio Heller Jr.,34,Designer,San Francisco,93481
Mrs. Francene Schneider,33,Teacher,Los Angeles,144487
Suellen Kihn,53,Engineer,New York,79159
Coletta Torphy,29,Engineer,Los Angeles,113857
Jessie Marquardt,34,Manager,Chicago,55871
Gary Mills,23,Teacher,San Francisco,145629
Adelaida Greenholt,35,Engineer,San Francisco,119587
Ivory Bashirian,30,Manager,San Francisco,111269
The Hon. Loren Schoen,55,Engineer,San Francisco,77187
Clelia Quitzon,32,Designer,Los Angeles,76865
Luther Heaney V,25,Teacher,Los Angeles,81966
Angel Hamill,52,Designer,New York,78622
Emilio Hackett,28,Manager,Chicago,86711
Reta Bogisich,56,Manager,San Francisco,130343
Graig Ziemann,46,Designer,Chicago,77078
Msgr. Carl Kuhn,32,Engineer,Chicago,83930
Galen Hartmann,56,Engineer,Los Angeles,62894
Modesto Monahan,50,Engineer,New York,112239
Londa Walter V,55,Manager,San Francisco,127859
Carlton Senger CPA,43,Designer,Los Angeles,52976
Waldo Buckridge,35,Engineer,San Francisco,90882
Janett Gulgowski Sr.,26,Engineer,San Francisco,129952
Dr. Larry Lind,35,Engineer,Los Angeles,114731
Tina Haley,34,Teacher,Los Angeles,100833
Keren Heaney,30,Manager,San Francisco,92863
Marissa McClure,36,Manager,San Francisco,135013
Arnoldo Rolfson,54,Engineer,Chicago,86982
Pres. Deedee Sporer,56,Manager,Chicago,108885
Harold Kerluke,28,Designer,San Francisco,97727
Augustine Russel Esq.,45,Engineer,Los Angeles,92184
The Hon. Dewey Gislason,31,Manager,Chicago,107498
Liane Schoen,21,Manager,Chicago,61444
Tanika Morissette,51,Teacher,Chicago,122595
Elke Robel,51,Engineer,Los Angeles,67441
Sandy Dare,56,Manager,San Francisco,83357
Farrah Runolfsdottir,51,Engineer,San Francisco,70449
Laquanda Lueilwitz III,30,Designer,Los Angeles,127735
Daniel Prohaska,48,Manager,Chicago,64841
Alise Murphy Ret.,59,Teacher,Chicago,55439
Coy Connelly,56,Engineer,Los Angeles,136632
Kyra Mann JD,23,Teacher,New York,122485
Juliana Trantow,45,Manager,Los Angeles,65040
Setsuko Sauer,49,Manager,Los Angeles,68562
Prof. Tanesha Abbott,58,Designer,Chicago,53227
